Input	Input_source	Output	Output_source
C13110	KEGG	CHEBI:32062	ChEBI
C17061	KEGG	CHEBI:49847	ChEBI
C14819	KEGG	CHEBI:29034	ChEBI
C11223	KEGG	CHEBI:5015	ChEBI
C07597	KEGG	CHEBI:5044	ChEBI
C18714	KEGG	CHEBI:81908	ChEBI
C00080	KEGG	CHEBI:15378	ChEBI
C00080	KEGG	CHEBI:24636	ChEBI
C18567	KEGG	CHEBI:81836	ChEBI
C11171	KEGG	CHEBI:9177	ChEBI
C14029	KEGG	CHEBI:35030	ChEBI
C13540	KEGG	CHEBI:34912	ChEBI
C17382	KEGG	CHEBI:81048	ChEBI
C17389	KEGG	CHEBI:81053	ChEBI
C18572	KEGG	CHEBI:81840	ChEBI
C11601	KEGG	CHEBI:52099	ChEBI
C18723	KEGG	CHEBI:74889	ChEBI
C18372	KEGG	CHEBI:81711	ChEBI
C08031	KEGG	CHEBI:4846	ChEBI
C08046	KEGG	CHEBI:6109	ChEBI
C11334	KEGG	CHEBI:5312	ChEBI
C11626	KEGG	CHEBI:9984	ChEBI
C00200	KEGG	CHEBI:8055	ChEBI
C08089	KEGG	CHEBI:5899	ChEBI
C08200	KEGG	CHEBI:7516	ChEBI
C11206	KEGG	CHEBI:55413	ChEBI
C13974	KEGG	CHEBI:79401	ChEBI
C13681	KEGG	CHEBI:35095	ChEBI
C02691	KEGG	CHEBI:11222	ChEBI
C14053	KEGG	CHEBI:34502	ChEBI
C14055	KEGG	CHEBI:34706	ChEBI
C19432	KEGG	CHEBI:24624	ChEBI
C13524	KEGG	CHEBI:34932	ChEBI
C08087	KEGG	CHEBI:4379	ChEBI
C13168	KEGG	CHEBI:31490	ChEBI
C13167	KEGG	CHEBI:31487	ChEBI
C14054	KEGG	CHEBI:34704	ChEBI
C08091	KEGG	CHEBI:7497	ChEBI
C13129	KEGG	CHEBI:32170	ChEBI
C19331	KEGG	CHEBI:82392	ChEBI
C15232	KEGG	CHEBI:52498	ChEBI
C15225	KEGG	CHEBI:52492	ChEBI
C18450	KEGG	CHEBI:81755	ChEBI
C18144	KEGG	CHEBI:81539	ChEBI
C15231	KEGG	CHEBI:52497	ChEBI
C18449	KEGG	CHEBI:81754	ChEBI
C12893	KEGG	CHEBI:31793	ChEBI
C12505	KEGG	CHEBI:31795	ChEBI
C18384	KEGG	CHEBI:81721	ChEBI
C07964	KEGG	CHEBI:6504	ChEBI
C15234	KEGG	CHEBI:37187	ChEBI
C12277	KEGG	CHEBI:31341	ChEBI
C08066	KEGG	CHEBI:3241	ChEBI
C08075	KEGG	CHEBI:7826	ChEBI
C08069	KEGG	CHEBI:4755	ChEBI
C08070	KEGG	CHEBI:6924	ChEBI
C00818	KEGG	CHEBI:30612	ChEBI
C00679	KEGG	CHEBI:42819	ChEBI
C00898	KEGG	CHEBI:30924	ChEBI
C01187	KEGG	CHEBI:16064	ChEBI
C03342	KEGG	CHEBI:28023	ChEBI
C02928	KEGG	CHEBI:28326	ChEBI
C00072	KEGG	CHEBI:38290	ChEBI
C06241	KEGG	CHEBI:27438	ChEBI
C03708	KEGG	CHEBI:29065	ChEBI
C04015	KEGG	CHEBI:29006	ChEBI
C04016	KEGG	CHEBI:28944	ChEBI
C04017	KEGG	CHEBI:28999	ChEBI
C03410	KEGG	CHEBI:29025	ChEBI
C00558	KEGG	CHEBI:17886	ChEBI
C00333	KEGG	CHEBI:12952	ChEBI
C00191	KEGG	CHEBI:15748	ChEBI
C06017	KEGG	CHEBI:28504	ChEBI
C04573	KEGG	CHEBI:15886	ChEBI
C05385	KEGG	CHEBI:28547	ChEBI
C04053	KEGG	CHEBI:17117	ChEBI
C02330	KEGG	CHEBI:88243	ChEBI
C02024	KEGG	CHEBI:30624	ChEBI
C01720	KEGG	CHEBI:21291	ChEBI
C00880	KEGG	CHEBI:12931	ChEBI
C03408	KEGG	CHEBI:28655	ChEBI
C00257	KEGG	CHEBI:18391	ChEBI
C01133	KEGG	CHEBI:38439	ChEBI
C07638	KEGG	CHEBI:28148	ChEBI
C00800	KEGG	CHEBI:13115	ChEBI
C15673	KEGG	CHEBI:36602	ChEBI
C00514	KEGG	CHEBI:17767	ChEBI
C00770	KEGG	CHEBI:17796	ChEBI
C00817	KEGG	CHEBI:17360	ChEBI
C00878	KEGG	CHEBI:16157	ChEBI
C00545	KEGG	CHEBI:16501	ChEBI
C01685	KEGG	CHEBI:17773	ChEBI
C00258	KEGG	CHEBI:16659	ChEBI
C16699	KEGG	CHEBI:60331	ChEBI
C02713	KEGG	CHEBI:28881	ChEBI
C02004	KEGG	CHEBI:18027	ChEBI
C02004	KEGG	CHEBI:43445	ChEBI
C06326	KEGG	CHEBI:15602	ChEBI
C05947	KEGG	CHEBI:6331	ChEBI
C12986	KEGG	CHEBI:61509	ChEBI
C00846	KEGG	CHEBI:15775	ChEBI
C03972	KEGG	CHEBI:16845	ChEBI
C03340	KEGG	CHEBI:30620	ChEBI
C04411	KEGG	CHEBI:35121	ChEBI
C03079	KEGG	CHEBI:16338	ChEBI
C01042	KEGG	CHEBI:16953	ChEBI
C06379	KEGG	CHEBI:17503	ChEBI
C03066	KEGG	CHEBI:17652	ChEBI
C01061	KEGG	CHEBI:18034	ChEBI
C04390	KEGG	CHEBI:18317	ChEBI
C01275	KEGG	CHEBI:27040	ChEBI
C11355	KEGG	CHEBI:35181	ChEBI
C00624	KEGG	CHEBI:44337	ChEBI
C00439	KEGG	CHEBI:18327	ChEBI
C03761	KEGG	CHEBI:17325	ChEBI
C18244	KEGG	CHEBI:19345	ChEBI
C13811	KEGG	CHEBI:133924	ChEBI
C00383	KEGG	CHEBI:15792	ChEBI
C02170	KEGG	CHEBI:17453	ChEBI
C00830	KEGG	CHEBI:17121	ChEBI
C00036	KEGG	CHEBI:16452	ChEBI
C02501	KEGG	CHEBI:64016	ChEBI
C12833	KEGG	CHEBI:19298	ChEBI
C01606	KEGG	CHEBI:17563	ChEBI
C06337	KEGG	CHEBI:30043	ChEBI
C06201	KEGG	CHEBI:58936	ChEBI
C01732	KEGG	CHEBI:36986	ChEBI
C00254	KEGG	CHEBI:29934	ChEBI
C02612	KEGG	CHEBI:30934	ChEBI
C02614	KEGG	CHEBI:30936	ChEBI
C01087	KEGG	CHEBI:15801	ChEBI
C03196	KEGG	CHEBI:16782	ChEBI
C00922	KEGG	CHEBI:17081	ChEBI
C00922	KEGG	CHEBI:17081	ChEBI
C00922	KEGG	CHEBI:17081	ChEBI
C02504	KEGG	CHEBI:1178	ChEBI
C00490	KEGG	CHEBI:17240	ChEBI
C03210	KEGG	CHEBI:17560	ChEBI
C03248	KEGG	CHEBI:15357	ChEBI
C00026	KEGG	CHEBI:16810	ChEBI
C01127	KEGG	CHEBI:17742	ChEBI
C05946	KEGG	CHEBI:62213	ChEBI
C01036	KEGG	CHEBI:17105	ChEBI
C12835	KEGG	CHEBI:19373	ChEBI
C16249	KEGG	CHEBI:19480	ChEBI
C02222	KEGG	CHEBI:16468	ChEBI
C02167	KEGG	CHEBI:16727	ChEBI
C02514	KEGG	CHEBI:16854	ChEBI
C03453	KEGG	CHEBI:16967	ChEBI
C16588	KEGG	CHEBI:72701	ChEBI
C00680	KEGG	CHEBI:30308	ChEBI
C00666	KEGG	CHEBI:47031	ChEBI
C00711	KEGG	CHEBI:15595	ChEBI
C00497	KEGG	CHEBI:15588	ChEBI
C00149	KEGG	CHEBI:15589	ChEBI
C02887	KEGG	CHEBI:15596	ChEBI
C02887	KEGG	CHEBI:15596	ChEBI
C00122	KEGG	CHEBI:29806	ChEBI
C00975	KEGG	CHEBI:17795	ChEBI
